id,order,expected_json
0,"Yo, can I get a Cold Brew, make it Trenta, and a Blueberry Muffin.","{""drink"": ""Cold Brew"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [""Blueberry Muffin""], ""total_price"": 9.5}"
1,"Could I have a Trenta Mocha, poured over Coconut Milk... actually no Extra Shot.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Extra Shot""], ""food_items"": [], ""total_price"": 7.5}"
2,"Shoot me a Venti Cold Brew, and a Blueberry Muffin.","{""drink"": ""Cold Brew"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [""Blueberry Muffin""], ""total_price"": 9.0}"
3,"I guess I'll take a Grande Frappe (Coffee), and why not add Peppermint Syrup... actually ignoring that, Sugar Free Vanilla.","{""drink"": ""Frappe (Coffee)"", ""size"": ""Grande"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Sugar Free Vanilla""], ""food_items"": [], ""total_price"": 6.5}"
4,"Yo, can I get a Caramel Macchiato, make it Grande, also Light Ice, and a hmm Bacon Gouda Sandwich.","{""drink"": ""Caramel Macchiato"", ""size"": ""Grande"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Light Ice""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 11.25}"
5,"You know what? Let's do a Tall Chai Latte, and Classic Syrup, substitute with Sugar Free uh Vanilla, and a Butter sort of Croissant.","{""drink"": ""Chai Latte"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Classic Syrup"", ""Sugar Free Vanilla""], ""food_items"": [""Butter Croissant""], ""total_price"": 8.75}"
6,"I'd like to order a Short Iced Coffee, use Classic Syrup, included with Caramel like Syrup.","{""drink"": ""Iced Coffee"", ""size"": ""Short"", ""final_milk"": null, ""modifiers"": [""Classic Syrup"", ""Caramel Syrup""], ""food_items"": [], ""total_price"": 3.0}"
7,"I guess I'll take a Short Hot Chocolate, and on the side Skim kinda Milk.","{""drink"": ""Hot Chocolate"", ""size"": ""Short"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Skim Milk""], ""food_items"": [], ""total_price"": 3.5}"
8,"Order of a Strawberry Smoothie, make it hmm Short, make sure there's Breve, make that with Skim Milk.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Short"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Breve"", ""Skim Milk""], ""food_items"": [], ""total_price"": 6.3}"
9,"Okay, for me, it's gonna be a Trenta Frappe (Coffee), mix in some Oat Milk, substitute with Extra like Hot, and a uh Butter Croissant.","{""drink"": ""Frappe (Coffee)"", ""size"": ""Trenta"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Oat Milk"", ""Extra Hot""], ""food_items"": [""Butter Croissant""], ""total_price"": 11.3}"
10,"Yo, can I get a Tall Hot Chocolate, lot kinda of No Whip, splash of Peppermint Syrup.","{""drink"": ""Hot Chocolate"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""No Whip"", ""Peppermint Syrup""], ""food_items"": [], ""total_price"": 4.5}"
